key_id,key,english,zh-CN,translation
50306298908672,disconnected_internet_title,Disconnected,断开连接,연결 끊김
50306298908673,disconnected_internet_description,Connection to the Internet has been lost. Please try to reconnect.,与互联网的连接已经中断。请重新连接。,인터넷 연결이 끊어졌습니다. 다시 연결해 주세요.
50306303102979,language_selection,Select language,选择语言,언어 선택
50306303102980,how_to_play,How to play,游玩指南,플레이 방법
50306303102981,controls,Controls,控制,조작
50306303102986,controls_shoot,Shoot/Use held consumable,射击/使用持有的消耗品,사격/소지한 소모품 사용
50306303102987,controls_ability,Dash,冲刺,대시
50306303102988,controls_interact,Interaction,互动,상호작용
50306303102989,controls_reload,Reload weapon / Drop consumable,装填武器 / 丢弃消耗品,무기 장전 / 소모품 버리기
50306303102990,controls_change_weapon,Switch weapon,更换武器,무기 변경
50306303102991,controls_change_ability,Switch ability,更换能力,능력 변경
50306303102992,controls_talent,Use talent,使用天赋,재능 사용
50306303102995,select_class,Next,下一个,다음
50306303102996,title_class_medic,Marcus,马库斯,마커스
50306303102997,description_class_medic,"Marcus fled medical malpractice allegations in his home country to become a practicing veterinarian in the land of opportunity.
He has access to meds and carries an electric saw that cuts through bone and tissue like butter.","马库斯为了逃离家乡对他的医疗事故指控，他跑到这片充满机遇的土地，成为了一名执业兽医。
他可以使用药物，身上还带着一把电锯，可以像切黄油一样切开骨头和组织。","마커스는 고국에서 의료사고 혐의를 먹고 튄 뒤, 기회의 땅에서 수의사로 눌러앉았다.
약빨은 확실하고, 뼈든 살이든 버터처럼 썰어버리는 전동톱을 들고 다닌다."
50306303102998,title_class_scout,Linda,琳达,린다
50306303102999,description_class_scout,Linda used to be a scout leader. She's fast on her feet and carries a multipurpose shovel for close encounters.,琳达曾是一名童子军队长。她行动迅速，随身带着一把多功能铲子，以备近距离交战时使用。,린다는 발 빠른 스카우트 대장 출신이다. 가까이 오는 놈들에게 린다의 삽은 답을 알려준다.
50306303103000,title_class_sharpshooter,Alfred,阿尔弗雷德,앨프레드
50306303103001,description_class_sharpshooter,"Recreational hunter with 1,000 theories on why the apocalypse happened.
Some call Alfred paranoid, and he might still think this is all just a simulation, but no one calls him a bad shot.","阿尔弗雷德是一个玩世不恭的猎人，他脑子里有着上千种世界末日的爆发理论。
有人说他是一个偏执狂，他可能也不否认这一点，但没人说他枪法差。","종말이 왜 일어났는지에 대한 이론만 1,000가지인 취미 사냥꾼. 편집증이라고? 이 세상이 시뮬레이션이어도 상관없다. 적어도 총은 잘 쏘니까."
50306303103002,title_class_commando,"""Big Bang""",“Ｂ先生”,"""빅뱅"""
50306303103003,description_class_commando,"Before the apocalypse, “Big Bang” Barry Backhausen was an outlaw biker (Hammerheads MC) moonlighting as a pro wrestler. He’s got a flair for bravado, big noise and even bigger explosions, and the hardware to back it up.",在世界末日来临之前，“Ｂ先生”巴里-巴斯豪森（Barry Backhausen）是一名非法摩托车手（锤头鲨 MC），他还有一个专业摔跤手的兼职。他喜欢逞强，嗓门巨大，还掌握着大威力炸药，关键是他真的有这些东西。,"종말 전, ''빅뱅'' 배리 바크하우젠은 프로레슬러를 부업으로 뛰는 무법 바이커(해머헤드 MC)였다. 허세, 굉음, 그보다 더 큰 폭발을 사랑한다. 그리고 그걸 실현할 화력도 갖고 있다."
50306303103012,title_perk_field medic,Field Medic,战地医护,야전 의무병
50306303103013,description_perk_field medic,"Resurrect <style=""Green"">{0}</style> faster. Medkits are <style=""Green"">{1}</style> more effective","恢复速度加快<style=""Green"">{0}</style>。医疗包效果增加<style=""Green"">{1}</style>","부활 속도가 <style=""Green"">{0}</style> 빨라짐. 의료 키트 효과가 <style=""Green"">{1}</style> 증가"
50306307297283,title_perk_rage,Rage,狂怒,격노
50306307297284,description_perk_rage,"Damage is increased by <style=""Green"">{0}</style> for {1}s after taking damage (Stackable)","受伤后伤害增加<style=""Green"">{0}</style>，持续{1}秒（可叠加）","피해를 받은 후 {1}초 동안 피해량이 <style=""Green"">{0}</style> 증가 (중첩 가능)"
50306307297329,title_perk_ammo station,Strong Start,强势登场,강력한 출발
50306307297330,description_perk_ammo station,You start each new mission with an ammo cache,开始新任务时携带一个弹药补给,새 임무를 시작할 때 탄약 보급품을 소지한다
50306307297340,difficulty_increased,Threat increased!,威胁提升！,위협 증가!
50306307297341,user_pick_up_crate,{0} grabbed a Crate!,{0}拿到了一个箱子！,{0}이(가) 상자 먹었다!
50306307297342,user_got_ticked,{0} got ticked!,{0} 被蜱虫咬住了！,{0}이(가) 진드기 붙었다!
50306307297343,user_delivered_crate,{0} delivered a Crate!,{0}传送了一个箱子！,{0}이(가) 보급 상자를 전달했다!
50306307297346,title_weapon_pistol,9mm,9毫米,9mm
50306307297347,description_weapon_pistol,"Low damage, but good in a pinch.",伤害低，但在紧要关头有奇效。,딜은 쥐꼬리지만, 급할 땐 쓸 만하다.
50306307297348,title_weapon_dual pistols,Dual Pistols,双持手枪,쌍권총
50306307297349,description_weapon_dual pistols,When one is simply not enough.,当一把枪的火力不够时。,하나론 부족할 때.
50306307297350,title_weapon_flare gun,Flare Gun,信号枪,신호총
50306307297351,description_weapon_flare gun,"Single-shot compact <style=""Fire""> incendiary</style> weapon","单发紧凑型武器，能发射<style=""Fire"">燃烧</style>弹","단발 소형 <style=""Fire""> 소이</style> 무기"
50306307297352,title_weapon_shotgun,Shotty,轰天炮,산탄총
50306307297353,description_weapon_shotgun,"What it lacks in reload speed, it makes up for in damage.",换弹速度上的不足，在伤害上得到了弥补。,"장전 속도는 느리지만, 피해량으로 보상한다."
50306307297354,title_weapon_sawed off shotgun,Sawed Off,短管喷,소드오프
50306307297355,description_weapon_sawed off shotgun,"Close-range, wide spread, and good knockback.",射程短，杀伤面大，击退效果强。,"근거리, 넓은 탄퍼짐, 강한 넉백."
50306307297356,title_weapon_smg,SMG,冲锋枪,SMG
50306307297357,description_weapon_smg,Basic rapid-fire gun. High rate of fire but low accuracy—watch your ammo!,很基础的速射枪械。射速高但精准度低——注意你的弹药！,기본 속사 총기. 연사는 빠르지만 정확도는 꽝—탄약 잘 봐!
50306307297358,title_weapon_assault rifle,Assault Rifle,突击步枪,돌격소총
50306307297359,description_weapon_assault rifle,A handy burst-fire gun with medium damage,一款用来三连发射击的枪械，伤害中等,딜도 적당하고 쓰기 편한 점사 총기
50306307297360,title_weapon_minigun,Mini-Gun,速射机枪,미니건
50306307297361,description_weapon_minigun,Let loose with unparalleled rate of fire—make sure to bring extra ammunition,射速无与伦比——请确保你带着额外的弹药,미친 연사력으로 뿌려대라—탄약은 넉넉히 챙겨올 것
50306307297362,title_weapon_rifle,Sporting Rifle,运动步枪,스포츠 라이플
50306307297363,description_weapon_rifle,Go long with this classic high-caliber rifle for high accuracy kills,这支经典的大口径步枪能进行长时间的高精度射击,이 클래식 대구경 소총으로 정확하게 원거리 킬을 따라
50306307297364,title_weapon_railgun,Railgun,轨道枪,레일건
50306307297365,description_weapon_railgun,"Electrify your enemies with a powerful shot of <style=""Lightning""> lightning</style>","使用强力<style=""Lightning"">电击</style>以伤害敌人","강력한 <style=""Lightning""> 전기</style> 사격으로 적을 감전시켜라"
50306307297366,title_weapon_ice pick,Ice Pick,冰雪精华,아이스 픽
50306307297367,description_weapon_ice pick,"Deliver an <style=""Ice""> ice-cold</style> shot that slows down mutants","能进行<style=""Ice"">冰冻</style>射击，造成变异体减速","<style=""Ice""> 극저온</style> 사격으로 변이체를 둔화"
50306307297368,title_weapon_grenade launcher,Grenade Launcher,手雷发射器,유탄 발사기
50306307297369,description_weapon_grenade launcher,<nobr><sprite=1><color=#f1982e> Explode</color></nobr> your way through mutants with grenades,用手雷<nobr><sprite=1><color=#f1982e>炸开</color></nobr>一条血路以消灭变异体,수류탄으로 변이체 사이를 <nobr><sprite=1><color=#f1982e>폭파</color></nobr>하며 돌파하라
50306307297370,title_weapon_auto launcher,Auto Launcher,自动发射器,자동 발사기
50306307297371,description_weapon_auto launcher,Tap-fire launcher that deals medium damage,中等伤害的点射型发射器,중간 피해량의 점사형 발사기
50306307297372,title_weapon_gel launcher,Gel Launcher,凝胶发射器,겔 발사기
50306307297373,description_weapon_gel launcher,"Fires a canister of sticky gel that will stick to most surfaces. The gel turns solid when it comes into contact with air, but will explode if it takes damage",能发射粘稠的凝胶，可以粘在大多数物体表面。这种凝胶与空气接触时会变成固体，但如果受到损坏就会爆炸,"끈적한 겔 캐니스터를 발사한다. 대부분의 표면에 달라붙으며, 공기와 접촉하면 굳지만 피해를 받으면 폭발"
50306307297374,title_weapon_fire launcher,Fire Launcher,火焰发射器,화염 발사기
